Fabric,Generation,Compute Type,Partition,Cores Per Die,Dies Per Node,Die Make,Die Frequency GHz,Die Instructions Per Cycle Float64,Die Model,Memory Per Node GB,GPU Per Node,GPU Make,GPU Model,GPU Memory GB,GPU Interconnect,GPU Frequency GHz,GPU CUDA Cores,GPU Instructions Per Cycle Float64,Nodes,Node Name,IO,Queue,Physical Location,In Use,Funding Sources,Date,Notes
hpc,1,cpu,,1,2,AMD,1.6,,Opteron 242,16,,,,,,,,,64,,,,retired,0,EPSCoR,2005,"""64 2-CPU AMD 1.6 GHz compute nodes"" | ""Verari nodes"""
hpc,2,cpu,,4,2,Intel,3,,Xeon E5450,48,,,,,,,,,24,,,,retired,0,VPIT,2008 | 2009,
hpc,3,cpu,,6,2,Intel,2.66,,Xeon X5650,48,,,,,,,,,32,,,,retired,0,NIH SIG | VPIT,2010,
hpc,3,cpu,,6,2,Intel,2.66,,Xeon X5650,96,,,,,,,,,16,,,,retired,0,,,
hpc,4,cpu,,8,2,Intel,2.7,,Xeon X5650,384,,,,,,,,,3,,,,retired,0,Dr. Hemant Tiwari of SSG,,
hpc,5,cpu,,8,2,Intel,2,,Xeon E2650,96,,,,,,,,,12,,,,retired,0,,,
hpc,6,cpu,cpu,12,2,Intel,2.5,16,Xeon E5-2680 v3,384,,,,,,,,,14,,,slurm,tic,0,,,
hpc,6,cpu,cpu,12,2,Intel,2.5,16,Xeon E5-2680 v3,256,,,,,,,,,38,,,slurm,tic,0,,,
hpc,6,cpu,cpu,12,2,Intel,2.5,16,Xeon E5-2680 v3,128,,,,,,,,,44,,,slurm,tic,0,,,
hpc,7,gpu,pascalnodes,14,2,Intel,2.4,16,Xeon E5-2680 v4,256,4,NVIDIA,Tesla P100,16,pcie 3.0,1.19,3584,1,18,,,slurm,dcb,1,,,
hpc,8,cpu,cpu,12,2,Intel,2.5,16,Xeon E5-2680 v4,192,,,,,,,,,21,,,slurm,tic,1,,,
hpc,8,high memory,largemem,12,2,Intel,2.5,16,Xeon E5-2680 v4,768,,,,,,,,,10,,,slurm,tic,1,,,
hpc,8,high memory,largemem,12,2,Intel,2.5,16,Xeon E5-2680 v4,1536,,,,,,,,,4,,,slurm,tic,1,,,
hpc,9,cpu,cpu,24,2,Intel,3,16,Xeon Gold 6248R,192,,,,,,,,,52,,,slurm,tic,1,,,
hpc,10,cpu,cpu,64,2,AMD,2,16,Epyc 7713 Milan,512,,,,,,,,,34,,,slurm,tic,1,,,
cloud,1,cpu,,12,4,Intel,,,,192,,,,,,,,,5,R640,,openstack,dcb,1,,,
cloud,1,gpu,,64,2,AMD,2.25,16,Epyc 7742 Rome,1024,8,NVIDIA,A100,40,"pcie 4.0, nvlink",1.095,6912,1,4,DGX A100,,openstack,dcb,1,,,
container,1,cpu,,12,4,Intel,,,,192,,,,,,,,,3,R640,,kubernetes,dcb,1,,,
container,1,gpu,,64,2,AMD,2.25,16,Epyc 7742 Rome,1024,8,NVIDIA,A100,40,"pcie 4.0, nvlink",1.095,6912,1,4,DGX A100,,kubernetes,dcb,1,,,
